# S&P 500 — top 100 by market cap, snapshot as of 2025-Q4.
#
# THIS FILE ROTATES QUARTERLY. The composition of the top 100 shifts as
# market caps move; refresh from a trusted source (e.g., SlickCharts,
# iShares ETF holdings export) at the start of each calendar quarter.
#
# The agent (quant.agent) loads this list at runtime to restrict its
# trading universe per the operator's rule "only top 100 S&P by market
# cap". The order of rows doesn't matter — the agent treats it as a set.
#
# Each row: symbol[,sector]. Sector is informational only.
symbol,sector
NVDA,Information Technology
AAPL,Information Technology
MSFT,Information Technology
GOOGL,Communication Services
GOOG,Communication Services
AMZN,Consumer Discretionary
META,Communication Services
AVGO,Information Technology
TSLA,Consumer Discretionary
BRK.B,Financials
WMT,Consumer Staples
LLY,Health Care
JPM,Financials
V,Financials
MA,Financials
XOM,Energy
ORCL,Information Technology
COST,Consumer Staples
UNH,Health Care
NFLX,Communication Services
JNJ,Health Care
HD,Consumer Discretionary
ABBV,Health Care
PG,Consumer Staples
BAC,Financials
SAP,Information Technology
ASML,Information Technology
KO,Consumer Staples
TMUS,Communication Services
CRM,Information Technology
WFC,Financials
CSCO,Information Technology
PLTR,Information Technology
PM,Consumer Staples
ABT,Health Care
CVX,Energy
IBM,Information Technology
MS,Financials
GE,Industrials
LIN,Materials
MCD,Consumer Discretionary
GS,Financials
DIS,Communication Services
AMD,Information Technology
CAT,Industrials
MRK,Health Care
AXP,Financials
ISRG,Health Care
INTU,Information Technology
T,Communication Services
NOW,Information Technology
PEP,Consumer Staples
RTX,Industrials
TMO,Health Care
VZ,Communication Services
QCOM,Information Technology
BKNG,Consumer Discretionary
UBER,Industrials
ADBE,Information Technology
BLK,Financials
SPGI,Financials
ACN,Information Technology
SCHW,Financials
TXN,Information Technology
C,Financials
PGR,Financials
BSX,Health Care
AMGN,Health Care
LOW,Consumer Discretionary
DHR,Health Care
NEE,Utilities
PFE,Health Care
GILD,Health Care
UNP,Industrials
DE,Industrials
SYK,Health Care
HON,Industrials
BX,Financials
CMCSA,Communication Services
PANW,Information Technology
TJX,Consumer Discretionary
ADP,Industrials
COP,Energy
BA,Industrials
BMY,Health Care
MDT,Health Care
MU,Information Technology
KKR,Financials
VRTX,Health Care
LRCX,Information Technology
ETN,Industrials
LMT,Industrials
KLAC,Information Technology
ADI,Information Technology
SBUX,Consumer Discretionary
PLD,Real Estate
APP,Information Technology
PYPL,Financials
NKE,Consumer Discretionary
ANET,Information Technology
APH,Information Technology
INTC,Information Technology
