# S&P 500 membership history.
#
# Auto-refreshed by quant-sp500-refresh from Wikipedia.
# Last refreshed: 2026-06-04T10:28:31
#
# Columns: symbol, added (first day IN, INCLUSIVE),
#          removed (first day NOT IN, EXCLUSIVE; blank if active).
#
symbol,added,removed
A,2000-06-05,
AA,,2016-11-01
AAL,2015-03-23,2024-09-23
AAP,2015-07-08,2023-08-25
AAPL,1982-11-30,
ABBV,2013-01-02,
ABK,2000-12-05,2008-06-10
ABMD,2018-05-31,2022-12-22
ABNB,2023-09-18,
ABS,,2006-06-02
ABT,1957-03-04,
ACAS,,2009-03-03
ACE,,2016-01-19
ACGL,2022-11-01,
ACN,2011-07-05,
ACT,1999-04-12,
ADBE,1997-05-05,
ADCT,,2007-07-02
ADI,1999-10-12,
ADM,1957-03-04,
ADP,1981-03-31,
ADS,2013-12-23,2020-06-22
ADSK,1989-12-01,
ADT,2012-10-01,2016-05-03
AEE,1991-09-19,
AEP,1957-03-04,
AES,1998-10-02,
AET,,2018-12-03
AFL,1999-05-28,
AGN,,2020-05-12
AIG,1980-03-31,
AIV,,2020-12-21
AIZ,2007-04-10,
AJG,2016-05-31,
AKAM,2007-07-12,
AKS,2008-07-01,2011-12-16
ALB,2016-07-01,
ALGN,2017-06-19,
ALK,2016-05-13,2023-12-18
ALL,1995-07-13,
ALLE,2013-12-02,
ALTR,,2015-12-29
ALXN,2012-05-21,2021-07-21
AMAT,1995-03-16,
AMCR,2019-06-11,
AMD,2017-03-20,
AME,2013-09-20,
AMG,2014-07-01,2019-12-23
AMGN,1992-01-02,
AMP,2005-10-03,
AMT,2007-11-19,
AMTM,2024-09-30,2024-12-23
AMZN,2005-11-18,
AN,,2017-08-08
ANDV,,2018-10-01
ANET,2018-08-28,
ANF,,2013-12-23
ANR,2011-06-01,2012-10-02
ANSS,2017-06-19,2025-07-18
AON,1996-04-23,
AOS,2017-07-26,
APA,1997-07-28,
APC,,2019-08-09
APD,1985-04-30,
APH,2008-09-30,
APO,2024-12-23,
APOL,,2013-07-01
APP,2025-09-22,
APTV,2012-12-24,
ARE,2017-03-20,
ARES,2025-12-11,
ARG,2009-09-28,2016-05-23
ARNC,2016-11-01,2020-04-01
ATI,,2015-07-02
ATO,2019-02-15,
ATVI,2015-08-28,2023-10-18
AV,,2007-10-26
AVB,2007-01-10,
AVGO,2014-05-08,
AVP,,2015-03-23
AVY,1987-12-31,
AWK,2016-03-04,
AXON,2023-05-04,
AXP,1976-06-30,
AYE,2000-12-05,2011-02-25
AYI,2016-05-03,2018-06-18
AZO,1997-01-02,
BA,1957-03-04,
BAC,1976-06-30,
BALL,1984-10-31,
BAX,1972-09-30,
BBBY,,2017-07-26
BBWI,,2024-10-01
BBY,1999-06-29,
BC,,2008-06-23
BCR,,2018-01-03
BDX,1972-09-30,
BEAM,,2014-05-01
BEN,1998-04-30,
BF.B,1982-10-31,
BG,2023-03-15,
BHF,2017-08-08,2019-04-02
BHI,,2017-07-07
BIG,,2013-02-15
BIIB,2003-11-13,
BIO,2020-06-22,2024-09-23
BJS,,2010-04-29
BKNG,2009-11-06,
BKR,2017-07-07,
BLDR,2023-12-18,
BLK,2011-04-01,
BMC,,2013-09-10
BMS,2019-06-07,2019-06-11
BMY,1957-03-04,
BNY,1995-03-31,
BR,2018-06-18,
BRCM,,2016-02-01
BRK.B,2010-02-16,
BRO,2021-09-20,
BS,,2000-12-05
BSX,1995-02-24,
BTU,,2014-09-20
BUD,1976-07-01,
BWA,2011-12-16,2025-03-24
BX,2023-09-18,
BXLT,2015-07-01,2016-06-03
BXP,2006-04-03,
C,1988-05-31,
CA,,2018-11-06
CAG,1983-08-31,
CAH,1997-05-27,
CAM,,2016-04-04
CARR,2020-04-03,
CASY,2026-04-09,
CAT,1957-03-04,
CB,2010-07-14,
CBE,2011-11-18,2012-12-03
CBOE,2017-03-01,
CBRE,2006-11-10,
CCE,,2016-05-31
CCI,2012-03-13,
CCK,,2000-12-05
CCL,1998-12-11,
CCR,1997-06-17,
CDAY,2021-09-20,
CDNS,2017-09-18,
CDW,2019-09-23,
CE,2018-12-24,2025-03-24
CEG,2022-02-02,
CELG,,2019-11-21
CEPH,,2011-10-14
CERN,2010-04-29,2022-06-08
CF,2008-08-27,
CFC,,2008-07-01
CFG,2016-02-01,
CFN,,2015-03-18
CHD,2015-12-29,
CHK,,2018-03-19
CHRW,2007-03-02,
CHTR,2016-09-08,
CI,1976-06-30,
CIEN,2026-02-09,
CINF,1997-12-18,
CL,1957-03-04,
CLF,2009-12-18,2014-04-02
CLX,1969-03-31,
CMA,,2024-06-24
CMCSA,2002-11-19,
CMCSK,2015-09-18,2015-12-15
CME,2006-08-11,
CMG,2011-04-27,
CMI,1965-03-31,
CMS,1957-03-04,
CNC,2016-03-30,
CNP,1985-07-31,
CNX,,2016-03-04
COF,1998-07-01,
COG,2008-06-23,
COHR,2026-03-23,
COIN,2025-05-19,
COL,,2018-12-03
COO,2016-09-22,
COP,1957-03-04,
COR,2001-08-30,
COST,1993-10-01,
COTY,2016-09-30,2020-09-21
COV,2011-02-28,2015-01-27
CPAY,2018-06-20,
CPB,1957-03-04,
CPGX,2015-07-02,2016-07-05
CPRI,,2020-05-12
CPRT,2018-07-02,
CPT,2022-04-04,
CPWR,1998-12-11,2011-12-31
CRH,2025-12-22,
CRL,2021-05-14,
CRM,2008-09-12,
CRWD,2024-06-24,
CSC,,2015-12-01
CSCO,1993-12-01,
CSGP,2022-09-19,
CSRA,2015-12-01,2018-04-04
CSX,1957-03-04,
CTAS,2001-03-01,
CTLT,2020-09-21,2024-12-23
CTRA,,2026-05-07
CTSH,2006-11-17,
CTVA,2019-06-03,
CTX,,2009-08-19
CTXS,,2022-10-03
CVC,2010-12-17,2016-06-22
CVG,2000-06-12,2009-12-18
CVH,,2013-05-08
CVNA,2025-12-22,
CVS,1957-03-04,
CVX,1957-03-04,
CXO,2016-02-22,2021-01-21
CZR,2021-03-22,2025-09-22
D,2016-11-30,
DAL,2013-09-10,
DASH,2025-03-24,
DAY,,2026-02-09
DD,2019-06-03,
DDOG,2025-07-09,
DE,1957-03-04,
DECK,2024-03-18,
DELL,2024-09-23,
DF,,2013-05-23
DFS,2007-07-02,2025-05-19
DG,2012-12-03,
DGX,2002-12-12,
DHI,2005-06-22,
DHR,1998-11-18,
DIS,1976-07-01,
DISCA,,2022-04-11
DISCK,2014-08-06,2022-04-11
DISH,2017-03-13,2023-06-20
DJ,,2007-12-13
DLPH,2012-12-21,
DLR,2016-05-18,
DLTR,2011-12-16,
DNB,,2017-04-05
DNR,,2015-03-23
DO,,2016-09-30
DOC,2008-03-31,
DOV,1985-10-31,
DOW,2019-04-02,
DPS,,2018-07-02
DPZ,2020-05-12,
DRE,2017-07-26,2022-10-03
DRI,1995-05-31,
DTE,1957-03-04,
DTV,,2015-07-29
DUK,1976-06-30,
DV,,2012-10-01
DVA,2008-07-31,
DVN,2000-08-30,
DWDP,2017-09-01,2019-06-03
DXC,2017-04-04,2023-10-03
DXCM,2020-05-12,
DYN,,2009-12-18
EA,2002-07-22,
EBAY,2002-07-22,
ECL,1989-01-31,
ED,1957-03-04,
EFX,1997-06-19,
EG,2017-06-19,
EIX,1957-03-04,
EK,,2010-12-17
EL,2006-01-05,
ELV,2002-07-25,
EMC,,2016-09-08
EME,2025-09-22,
EMN,,2025-11-04
EMR,1965-03-31,
ENDP,2015-01-27,2017-03-02
ENPH,2021-01-07,2025-09-22
EOG,2000-11-02,
EP,,2012-05-17
EPAM,2021-12-14,
EQIX,2015-03-23,
EQR,2001-12-03,
EQT,2022-10-03,
ERIE,2024-09-23,
ES,2009-07-24,
ESRX,2003-09-25,2018-12-24
ESS,2014-04-02,
ESV,2012-07-31,2016-03-30
ETFC,,2020-10-07
ETN,1957-03-04,
ETR,1957-03-04,
ETSY,2020-09-21,2024-09-23
EVHC,2016-12-02,2018-10-11
EVRG,2018-06-05,
EW,2011-03-31,
EXC,1957-03-04,
EXE,2025-03-24,
EXPD,2007-10-10,
EXPE,2007-10-02,
EXR,2016-01-19,
F,1957-03-04,
FANG,2018-12-03,
FAST,2008-09-12,
FB,2013-12-23,
FBHS,2016-06-22,2022-12-19
FCX,2011-07-01,
FDC,,2007-09-26
FDO,,2015-07-08
FDS,2021-12-20,
FDX,1980-12-31,
FE,1997-11-28,
FFIV,2010-12-17,
FHN,,2013-06-21
FICO,2023-03-20,
FII,,2013-01-02
FIS,2006-11-10,
FISV,2001-04-02,
FITB,1996-03-29,
FIX,2025-12-22,
FL,2016-04-04,2019-08-09
FLIR,,2021-05-14
FLR,,2019-06-03
FLS,,2021-03-22
FLT,2018-06-20,
FMC,2009-08-19,2025-03-24
FNM,,2008-09-12
FOSL,2012-04-03,2016-01-05
FRC,2019-01-02,2023-05-04
FRE,,2008-09-12
FRT,2016-02-01,
FRX,,2014-07-01
FSLR,2022-12-19,
FSR,1998-12-11,
FTI,2009-06-05,2021-02-12
FTNT,2018-10-11,
FTR,,2017-03-20
FTV,2016-07-05,
GAS,2011-12-12,2016-07-01
GD,1957-03-04,
GDDY,2024-06-24,
GE,1957-03-04,
GEHC,2023-01-04,
GEN,2003-03-25,
GENZ,,2011-04-01
GEV,2024-04-02,
GGP,2013-12-10,2018-08-28
GHC,,2014-09-20
GILD,2004-07-01,
GIS,1957-03-04,
GL,1989-04-30,
GLK,,2005-07-01
GLW,1995-02-27,
GM,2013-06-06,
